fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
17.4983,19.8645,2.554,0.538,0.3111,53.8688,-0.3366,16.53,71.1481,117.4074,1
18.2403,7.5762,2.159,0.8197,0.4845,13.973,-24.8474,7.0776,46.7132,194.567,1
39.078,13.4445,2.5676,0.4199,0.253,3.6214,25.2378,4.0463,39.9537,95.3673,0
222.9383,81.8399,4.3371,0.0619,0.0369,-17.9035,5.7142,13.482,5.5834,311.5263,1
37.8408,15.0026,2.7743,0.303,0.1417,-3.486,5.9922,15.4086,43.1983,273.0398,1
90.9998,17.7223,2.6411,0.2449,0.1386,28.8807,-31.932,-2.3702,29.892,230.8906,0
25.7227,7.2088,2.4689,0.4292,0.2416,-3.1044,-43.6234,6.006,14.9777,66.7423,0
38.4364,25.2569,2.9328,0.351,0.1799,0.8411,-4.003,44.6751,5.2947,271.4142,0
29.3809,10.0714,2.3755,0.4306,0.2081,15.5898,18.7542,-5.4739,46.3064,127.2495,0
217.2325,48.1203,3.7915,0.0831,0.0473,-23.1246,-51.7438,-7.1922,36.1159,306.7584,0
45.3388,22.1736,2.6031,0.3034,0.143,106.9328,-2.1992,12.4103,58.8045,114.1176,0
33.096,22.1683,2.4912,0.4868,0.2363,-28.7032,-67.5389,7.7981,26.5154,101.0737,0
13.5418,5.7143,2.3563,0.6593,0.4426,-54.8711,47.8363,-25.6613,31.6719,164.7784,0
57.3104,35.0285,2.9428,0.261,0.1323,-94.8708,-111.7279,28.6885,33.9762,293.2452,1
15.33,2.6995,2.1254,0.8238,0.4907,-46.6661,-54.9402,14.1211,36.8854,216.2314,0
18.6672,5.4993,2.1827,0.6569,0.3761,-65.4449,-30.6025,-18.8536,23.6407,129.6362,0
74.2283,30.8949,2.8406,0.3374,0.1862,98.0197,58.6925,12.5695,27.1347,194.9031,0
38.2455,13.5362,2.7849,0.3554,0.1771,35.6374,38.2254,-7.6314,72.4774,108.4058,1
121.9107,36.7656,3.3162,0.2088,0.1252,13.7984,26.7014,10.752,6.4843,311.0491,1
111.6422,90.4166,4.0175,0.1017,0.0629,-17.7628,-85.7922,5.9525,10.1808,237.7672,1
74.8066,42.7805,3.2332,0.1929,0.1028,17.0203,22.4616,3.109,30.2521,148.7482,0
24.5238,19.2111,2.751,0.4259,0.1997,-14.2866,8.365,38.2704,44.4126,222.024,0
57.4717,32.7698,2.7858,0.3691,0.2033,-69.6408,-27.3422,-31.5071,24.0727,138.0796,0
161.637,69.9213,3.1777,0.1042,0.0481,-69.233,-23.1079,-6.1852,9.0898,162.1907,0
12.2321,15.043,2.2412,0.6634,0.4162,25.4946,29.4507,-28.1244,32.6026,47.6621,1
13.1474,7.5185,2.2358,0.8175,0.4983,-67.2074,-11.3925,32.9214,86.9853,82.8286,1
85.4716,20.3779,2.7938,0.2045,0.1484,22.0433,48.7424,-17.8477,0.3114,222.1181,0
55.6405,16.6436,2.8911,0.4895,0.2662,-160.4366,13.542,20.3361,20.6818,326.2453,0
40.2699,10.0557,2.5218,0.4849,0.2868,2.7808,0.9886,-9.7774,50.2294,186.7709,0
43.3486,26.5363,3.2281,0.2181,0.1091,-22.5283,-67.4443,-1.6201,54.2135,203.6975,1
37.5418,9.0439,2.3636,0.5397,0.3329,-109.3224,9.3158,-3.298,36.4007,194.9469,1
87.5825,22.1908,2.9404,0.3304,0.1744,-2.1083,-11.6116,-20.4864,4.1032,205.4525,0
35.4179,12.1352,2.5893,0.485,0.2827,-24.216,23.1629,6.4238,11.3935,116.4898,0
47.6662,19.4179,2.7547,0.2819,0.1739,-13.7563,-12.0972,18.9752,11.1162,199.7718,0
68.2641,60.4345,3.7896,0.1967,0.1217,-15.2287,-32.4739,29.6866,14.3436,217.1743,0
21.8887,8.5537,2.5097,0.5003,0.2451,67.263,-19.6072,-13.2707,43.1079,243.3449,0
136.1876,48.459,3.5478,0.1179,0.0654,6.8993,-24.5808,-3.1499,50.4639,233.3888,1
42.0305,35.4058,3.0764,0.3228,0.1464,-0.4676,28.508,22.1053,13.184,224.9227,0
26.6079,10.6806,2.7991,0.2222,0.1564,67.5538,112.483,-7.498,1.2985,250.5878,1
16.2344,6.0612,2.201,0.572,0.3601,112.3453,-45.7187,-31.2187,87.2104,73.9861,0
95.8103,28.436,3.4587,0.1419,0.0901,-6.0079,-27.7119,-14.7016,0.1556,373.3071,1
42.8879,21.2281,2.6078,0.5035,0.2534,-110.8154,-60.4898,31.1359,88.5567,172.7963,1
73.3387,23.0535,2.8854,0.1649,0.0966,-33.748,29.0272,12.4576,18.2459,81.6017,0
11.0513,9.5995,2.1361,0.7924,0.5041,60.5927,10.3423,-16.3403,73.908,80.0991,1
32.8695,2.9873,2.2788,0.6193,0.4053,81.1603,30.6146,12.3681,65.3123,138.7129,0
46.0332,31.6004,3.0683,0.2519,0.1437,-53.6827,107.2581,6.6674,41.3428,199.4613,1
27.369,11.2111,2.7954,0.4687,0.2508,-8.0801,42.8393,11.6549,8.5653,78.2324,0
132.1245,85.2212,3.746,0.157,0.0705,9.915,-31.956,4.4692,42.7205,213.2833,1
41.404,30.712,2.5793,0.31,0.1944,44.5194,101.4789,-2.1999,39.5417,152.2335,1
112.9003,47.4861,3.4452,0.2034,0.0899,71.009,62.4565,-18.3464,25.2938,186.9889,0
86.4901,59.5189,3.3319,0.2868,0.1078,-129.0708,-109.4629,5.8917,18.7739,313.789,1
27.106,17.1179,2.6509,0.4372,0.2695,107.7238,16.688,10.3071,78.9271,74.5031,0
11.8732,6.1814,2.2016,0.6542,0.3529,-47.4453,-14.0317,-14.2089,16.5446,81.8849,1
27.9686,12.9796,2.6044,0.446,0.2934,59.5926,9.1812,-7.4309,5.5878,154.6834,0
56.3674,29.1511,2.7037,0.3551,0.2259,31.6767,-62.7628,-9.0169,44.1372,154.152,1
69.8579,8.7409,2.7853,0.4755,0.312,-94.0671,-15.4609,0.3524,12.4109,207.0121,0
101.6703,39.1049,3.2564,0.2467,0.1579,22.5143,18.6743,21.4135,18.418,219.3809,0
19.8931,14.3398,2.8967,0.3149,0.179,-16.1277,-54.2675,-23.0294,16.9265,52.3291,0
35.9193,10.9562,2.7466,0.6367,0.4187,22.772,37.4687,37.3806,30.4098,108.3394,1
43.2226,12.2499,2.3072,0.484,0.2646,-14.8764,-55.8846,-21.3421,54.1609,222.6532,0
59.8406,21.5896,2.359,0.5072,0.2556,27.8463,-57.3097,17.8588,88.5959,137.8425,1
29.8296,19.9865,2.5861,0.4744,0.2389,11.6861,-10.9719,-4.7669,46.9082,241.5756,0
121.142,84.828,4.1589,0.0678,0.0434,-36.8964,50.8035,21.8844,1.3987,301.7812,0
38.0549,22.6627,2.6085,0.3989,0.2468,-50.8335,-25.3587,-14.5158,17.8157,255.9648,0
43.1197,14.2147,2.6149,0.5194,0.2876,-3.838,11.663,26.5523,0.8979,191.8334,0
11.4488,1.2367,2.0278,0.7424,0.4262,59.328,77.085,-34.7526,7.8906,77.8167,0
60.7739,34.5464,3.0742,0.2547,0.1395,-7.0655,0.056,-25.025,39.394,173.0175,1
207.4595,74.9042,3.7357,0.0715,0.0452,-128.7197,-25.1272,16.2432,0.1881,390.2041,0
153.8393,37.0824,3.8506,0.126,0.0673,-24.42,-30.3797,27.2471,2.6833,308.495,1
23.4458,23.6256,2.5891,0.4208,0.2128,-8.1574,-61.1014,9.6684,4.0991,193.4822,0
56.0625,36.2369,3.264,0.2043,0.1191,-83.2215,74.0748,3.7155,1.2343,221.9977,0
100.0607,54.0366,3.4987,0.2613,0.1522,-75.4921,-116.3346,9.7663,9.0044,352.4891,1
38.2276,34.1645,2.9154,0.2505,0.121,-10.2394,86.7875,-8.4293,39.6305,152.6266,1
23.0369,13.7114,2.4602,0.6026,0.3289,-93.0422,67.4735,-27.7446,30.0875,287.7535,0
39.9743,16.0448,2.4993,0.4704,0.2932,29.3898,17.2436,11.4112,76.3902,150.0219,0
18.5605,2.9993,2.5506,0.5314,0.3066,23.2325,-9.2701,0.2003,10.0336,227.8289,0
49.5669,18.9064,2.7834,0.3841,0.2053,18.7647,11.4496,4.7964,13.8937,194.8766,0
133.4376,38.0536,2.8624,0.1871,0.1063,-212.744,-39.2616,3.2133,84.2822,256.2178,1
25.1239,6.538,2.4807,0.4966,0.2858,-57.1702,59.5627,6.5189,0.0521,242.5439,0
57.5675,22.3838,3.0206,0.2183,0.1052,-1.6604,27.9621,-5.2534,34.1036,90.0529,0
55.3463,19.3969,2.7957,0.4646,0.2673,-3.9739,46.8123,-13.0946,1.4047,148.1912,1
62.433,24.1497,3.3311,0.154,0.0799,56.8803,-20.4263,-5.6884,0.3203,163.8307,0
18.5346,6.8987,2.2612,0.5384,0.3353,51.5497,47.57,-18.0877,21.2016,57.1952,0
67.3496,35.4473,3.2335,0.1458,0.084,3.8,7.6008,5.1428,3.8878,117.026,0
18.5884,7.7928,2.2103,0.6762,0.3736,5.6643,7.3129,7.7223,1.4801,165.6787,0
20.6548,6.4591,2.4694,0.4272,0.1994,83.2681,46.575,-33.2486,70.6031,27.9216,1
41.0875,33.4875,2.6873,0.3123,0.173,-14.5296,-13.218,42.7419,54.4436,153.5915,0
73.7413,34.6368,3.3435,0.2385,0.1054,-73.8908,33.0403,16.7588,65.2925,241.1477,1
68.7926,26.0826,3.333,0.2615,0.1546,0.8309,29.3149,8.5903,23.2627,117.297,0
50.6802,11.6888,2.8917,0.4465,0.2391,-46.6994,80.205,-3.8522,0.902,266.143,1
85.716,43.6381,3.2438,0.2262,0.1142,-42.7931,39.4274,26.2161,73.7536,298.2638,0
51.5898,14.423,2.8276,0.3425,0.1786,95.2787,-32.5188,-0.4094,4.5184,250.6499,0
126.0194,52.4945,3.8235,0.1414,0.0727,-69.3841,-29.9371,-10.7148,9.2493,159.7678,1
64.6606,21.8003,3.0697,0.2484,0.1271,-22.9574,-11.7385,-10.3402,0.0528,221.4221,0
37.6284,25.5184,2.8759,0.3191,0.1736,62.694,-10.4826,8.8917,3.229,63.1852,0
158.9528,57.5991,4.1335,0.1078,0.0588,-84.505,-19.3388,-9.466,0.7195,278.8077,0
65.8299,12.3797,2.7553,0.3005,0.1624,-29.3413,-19.9565,-22.7021,2.3452,249.8419,0
21.9176,5.3788,2.1828,0.6658,0.4233,-6.8334,-7.8403,-9.2583,54.1834,47.3692,0
32.3374,19.345,2.3839,0.4558,0.3027,-105.4465,-30.0205,-15.1473,0.806,271.0258,1
61.8577,20.005,2.6535,0.504,0.269,38.5185,-36.8396,-18.0904,68.3208,135.1111,0
22.329,11.0345,2.5887,0.4639,0.279,74.2965,31.9532,17.0968,14.3443,98.5135,0
39.3812,9.785,2.921,0.3105,0.1743,-1.1467,90.0309,-14.0095,0.4783,328.8268,0
12.0222,8.6046,2.4006,0.5744,0.3201,-67.6673,-63.2007,-18.1533,6.827,147.8601,0
50.9515,54.2488,3.6412,0.1819,0.0866,-17.1916,-24.5085,13.0694,6.0144,211.9952,0
40.1253,28.5086,2.7598,0.4947,0.2407,-13.8079,-80.6729,-11.8162,47.1572,160.49,1
18.6714,4.5151,2.0908,0.6525,0.3798,146.7688,179.7406,-11.6769,59.747,75.8834,1
98.4797,24.6444,3.2292,0.1625,0.086,-43.4889,35.0327,-20.9184,21.1833,285.0347,1
73.0633,21.5773,2.7192,0.3592,0.2318,-107.8529,4.7843,-4.2195,35.3244,259.6266,0
96.7741,25.8501,2.7094,0.264,0.1505,-54.9611,-101.0799,41.3053,60.6776,230.9679,1
90.4957,31.1452,3.5878,0.1076,0.0519,-50.0035,87.1461,-21.9063,0.6351,234.572,0
17.2361,12.7254,2.4813,0.6252,0.3336,-17.8719,-72.601,-7.6696,35.6906,150.2796,1
51.7192,29.3625,2.4872,0.3389,0.1985,-67.1848,-5.6421,4.4507,38.3504,198.5241,0
52.6935,23.7692,3.4856,0.1992,0.1033,-40.3622,75.649,-38.4901,18.8462,283.072,0
45.5609,22.5051,2.8401,0.271,0.1329,-33.2352,14.2485,2.4743,13.7401,226.5965,1
22.7848,36.9549,2.6091,0.4565,0.2646,-65.3733,-50.862,-11.9758,77.769,83.6064,1
71.5524,33.6847,3.444,0.1111,0.0544,93.2012,173.9972,-5.9637,0.6414,316.7557,0
105.5991,41.1877,3.5995,0.0995,0.0676,-60.4753,-95.1802,4.5936,60.662,269.0689,1
87.2124,47.7555,3.2577,0.1594,0.0858,-70.2149,-11.4287,32.218,0.3257,306.1191,0
56.6276,15.1204,2.8638,0.4013,0.2189,96.2018,46.4584,-23.2141,43.5504,123.9191,0
41.932,13.9087,2.8268,0.3772,0.2138,34.8177,26.9216,2.55,35.8103,139.5538,1
39.4607,21.0968,3.2162,0.2315,0.1382,-32.945,12.025,28.7704,0.4708,77.225,0
46.9612,53.1049,3.0794,0.3886,0.2256,29.658,-14.1773,41.1714,87.4291,165.7485,0
82.8073,46.162,2.8746,0.2066,0.1248,-21.4276,22.0827,0.739,19.7344,255.221,0
35.0777,19.5929,2.6382,0.5151,0.2615,8.8388,-2.1596,46.6286,78.1297,125.6733,0
57.3612,9.4351,2.814,0.374,0.2159,-78.5642,46.0743,24.6632,36.5629,271.0423,0
22.5096,10.3505,2.5254,0.488,0.295,-8.7812,38.2136,-2.6341,30.023,230.8514,0
87.9475,26.5545,2.9993,0.2596,0.1191,-149.4331,-26.0444,10.0616,63.6967,222.2997,1
39.6934,13.8613,2.4066,0.4136,0.2379,-3.4492,-41.9728,28.4211,43.6401,120.9483,0
57.3647,7.2854,2.597,0.433,0.2421,-26.1477,15.5235,-28.3721,26.9763,159.635,0
74.3144,20.6042,2.8392,0.4106,0.2434,9.0885,-42.4862,-2.9112,75.1068,176.1793,1
76.4422,29.6911,2.8322,0.2946,0.1523,-72.9262,-42.6624,24.4716,37.0681,244.4604,0
24.8975,9.9082,2.383,0.3643,0.1715,93.9024,-8.8002,-2.493,10.4644,130.7185,0
21.3569,10.9923,2.7225,0.4188,0.2198,58.7981,88.1694,23.6269,12.7421,168.0088,0
29.5685,6.4479,2.8647,0.2358,0.1523,78.6204,144.4518,15.392,9.2219,199.7125,0
81.2161,31.3394,3.048,0.2023,0.1258,-143.4651,44.5971,16.7669,2.2902,218.0183,0
21.3362,10.1984,2.7718,0.4394,0.2853,63.4537,63.6447,-22.6199,16.1915,105.7653,0
14.2727,5.6977,2.2676,0.7445,0.4095,-23.504,-37.2467,-33.7362,50.8331,182.4973,0
37.8095,11.9608,3.0185,0.2278,0.1516,7.0317,21.18,-18.1074,52.5473,142.3569,1
57.0081,15.9851,2.8131,0.3417,0.1975,-72.2317,24.8492,-18.0298,25.9353,140.4102,1
75.5891,34.5573,3.238,0.3864,0.2075,-17.5758,-74.1017,9.576,63.472,115.0356,1
46.3343,18.743,2.8645,0.3894,0.2173,-68.4656,-19.3219,23.7475,39.8262,243.0181,1
112.6382,55.7411,3.8372,0.0947,0.0411,-12.214,27.2208,2.9434,0.2783,262.3201,0
20.8927,9.5673,2.3489,0.4935,0.25,40.4102,72.0867,-35.7364,7.6583,160.5703,0
30.5254,16.624,2.5388,0.4973,0.2691,83.3641,-19.9726,-2.978,24.1586,178.5992,0
39.9452,48.5417,3.0153,0.2034,0.0985,-6.1569,-23.7841,5.8522,45.1241,149.6414,0
60.7046,17.1274,2.7873,0.3334,0.1763,-44.604,32.0103,18.4688,22.4917,223.0497,0
66.3988,22.2922,2.8228,0.2932,0.186,-11.047,-64.2708,18.8299,21.1272,217.057,0
47.4202,21.0749,3.5184,0.1596,0.0864,6.7296,108.6896,7.4944,0.5028,231.2301,0
38.578,10.1981,2.555,0.4584,0.2929,-87.8783,7.3001,-30.106,2.1085,213.5105,0
40.4294,30.9235,2.7517,0.4155,0.2249,-68.5276,-1.712,40.564,0.0825,201.4072,0
33.0179,26.0875,2.9991,0.361,0.1773,-54.0484,22.7975,-5.9138,0.0486,364.1932,0
20.1847,20.3801,2.8145,0.4394,0.2666,30.6966,1.8859,-21.9529,77.1954,46.0252,1
100.2993,22.2152,3.1966,0.2043,0.122,-75.5877,87.2361,12.0633,6.8688,197.3677,1
46.9326,45.4841,3.8197,0.1559,0.1041,-16.9148,-27.3524,4.899,3.1927,233.3551,1
16.1256,17.0511,2.2337,0.6538,0.3658,-54.8919,-56.8151,-26.0315,58.4213,179.2678,1
93.1179,33.4854,2.8393,0.3996,0.2578,-45.6357,-28.002,-8.6028,62.6288,215.648,1
12.2892,8.9179,2.3005,0.5825,0.3303,-42.0341,14.5286,6.6405,44.1213,131.7273,1
33.4673,16.5773,2.7694,0.3143,0.1837,19.8014,6.3472,17.7726,46.8495,89.4069,1
51.4063,25.9348,2.8119,0.45,0.2468,-57.2352,-4.6293,9.003,11.8752,157.2732,1
49.2064,14.4937,3.0834,0.318,0.1772,-25.6142,36.2366,1.7675,5.0599,250.5718,1
93.0116,55.8459,3.5078,0.1711,0.0891,-99.8631,-55.0357,38.3379,36.4112,261.5884,0
12.5938,5.1816,2.1576,0.7317,0.4285,36.625,14.7254,-13.0924,12.4555,230.6949,1
103.9048,52.4347,3.4097,0.2076,0.1061,67.4698,81.3971,21.5022,40.6119,340.2041,0
18.9263,13.2831,2.3296,0.6466,0.3517,-100.5166,-18.1528,-10.6578,40.7124,119.533,0
125.915,42.3231,3.0947,0.1898,0.0918,-45.231,-1.7351,15.4701,87.662,194.6975,1
71.4687,27.0631,2.9316,0.347,0.1636,-62.3933,-7.1685,26.0703,5.0447,328.8751,0
23.0642,21.7562,2.8745,0.4301,0.2346,22.9529,-47.2159,6.5519,61.9349,168.9904,0
104.053,37.9976,2.9605,0.4247,0.2335,-74.15,16.0978,-1.0604,20.8963,200.1187,1
47.7956,17.0206,2.8268,0.2249,0.1171,-36.066,26.0747,-16.3145,4.5205,151.4935,0
17.4971,4.3643,2.1894,0.5111,0.2399,-25.6267,44.1207,-13.8278,0.3588,316.0919,0
34.8831,49.9423,3.0755,0.1536,0.0816,-34.6676,21.0494,30.0516,53.8474,86.8637,0
142.2112,31.0597,3.3479,0.1546,0.0912,-21.9696,-84.1092,0.5775,48.464,124.727,1
31.2394,17.6278,2.2086,0.5977,0.313,2.947,24.1283,-6.8587,58.4813,129.6954,0
78.3054,23.4501,2.7841,0.3024,0.1511,-1.9791,-72.1329,-4.9157,70.0932,281.1147,0
48.1571,20.2187,3.2016,0.3006,0.2025,135.9111,3.8206,21.7414,25.3313,213.4459,1
15.1633,14.3707,2.8429,0.3477,0.1989,20.6338,61.5625,-20.9122,19.8154,134.5591,0
75.8924,26.8485,2.445,0.3723,0.196,15.9454,-57.3677,13.8469,65.5826,133.9839,1
80.3677,29.8171,2.6528,0.3251,0.1917,51.3944,89.3895,-12.5708,15.8076,205.158,0
